Irn,SellerGstin,BuyerGstin,DocNo,DocDt,AssAmt,IgstAmt,TotalVal
befbc9acf8f64c3a8f91ce40cdc94112,16ABCDE2440F1Z609,27ABCDE5969F1Z706,INV-1000,2023-12-31,202296.34,36413.34,238709.68
d6ad9abbcacd4a1d8f7c34a89db95ede,32ABCDE1654F1Z760,18ABCDE4223F1Z1102,INV-1001,2023-06-21,458831.64,82589.7,541421.34
bac85422ecf84928a6e5bb1a4c702feb,11ABCDE9778F1Z365,12ABCDE4894F1Z778,INV-1002,2023-10-29,87534.61,15756.23,103290.84
1b390687277b46499b7701d04c971b79,15ABCDE5656F1Z138,28ABCDE2360F1Z144,INV-1003,2023-04-10,227034.65,40866.24,267900.89
d10fa0e244b0477ca61bfc94c019d2a2,28ABCDE6130F1Z306,36ABCDE4144F1Z457,INV-1004,2023-08-19,60648.02,10916.64,71564.66
53d638dbd7aa4f479f4a2441ecee8af5,27AAAAA9853A1Z76,27AAAAA6300A1Z43,INV-1005,2023-10-20,236974.62,42655.43,279630.05
ee43dfb188244efdb50315431b590d04,16ABCDE2051F1Z956,11ABCDE1729F1Z818,INV-1006,2023-04-09,408116.11,73460.9,481577.01
46aadb7fb185404c901ec577b55ebde5,19ABCDE8897F1Z540,21ABCDE1674F1Z93,INV-1007,2023-10-14,244091.4,43936.45,288027.85
2b89934e8d5f497088d8bfa11c7e8f0a,21ABCDE1578F1Z492,20ABCDE8432F1Z5,INV-1008,2023-04-24,266768.15,48018.27,314786.42000000004
a237282ecc0a441c8441c13d8c089e39,07BBBBB4561B1Z495,18ABCDE4930F1Z479,INV-1009,2023-06-26,129116.71,23241.01,152357.72
1fe036b1701c4e169557971c0af50b84,27ABCDE1601F1Z1143,27ABCDE5969F1Z706,INV-1010,2023-04-23,468907.49,84403.35,553310.84
c77dd577581540c3a5e6f37bcd2842fd,07BBBBB3894B1Z122,31ABCDE3087F1Z514,INV-1011,2023-09-21,288663.95,51959.51,340623.46
5ebd8e70e52544faa1b424c39d5ef8a3,17ABCDE9374F1Z834,15ABCDE4596F1Z872,INV-1012,2023-12-11,463736.12,83472.5,547208.62
41f509d0a86d43aab6e4cd3020ea3f0f,07BBBBB7758B1Z176,31ABCDE9311F1Z1114,INV-1013,2023-04-24,123830.62,22289.51,146120.13
55fe6a62c72f449ba85041287aaa8d89,35ABCDE7046F1Z1075,24ABCDE9165F1Z1107,INV-1014,2023-09-13,292142.93,52585.73,344728.66
9d2a68f750444587bfe8150a4f56848b,17ABCDE8964F1Z381,29ABCDE8990F1Z468,INV-1015,2023-11-14,78740.33,14173.26,92913.59
de53fc1e9ece4438840facfc407268b5,27ABCDE2258F1Z822,26ABCDE1845F1Z179,INV-1016,2023-07-08,257575.66,46363.62,303939.28
fc21c83a655d4d22b4210238398c9de9,21ABCDE6211F1Z786,24ABCDE5728F1Z16,INV-1017,2023-08-16,120077.82,21614.01,141691.83000000002
255827006eef4562ba92af6d215c28d1,19ABCDE8619F1Z267,26ABCDE1062F1Z1116,INV-1018,2024-01-23,230756.66,41536.2,272292.86
