EwbNo,DocNo,VehicleNo,Distance
663720857708,INV-1000,TS09AB8291,354
688273385879,INV-1001,TS09AB4662,655
566213987831,INV-1002,TS09AB9363,350
336131622550,INV-1003,TS09AB6924,659
357194413043,INV-1004,TS09AB2941,640
671835791120,INV-1005,TS09AB7454,77
569041263863,INV-1006,TS09AB8145,59
872919943981,INV-1007,TS09AB8790,891
242829097743,INV-1008,TS09AB3153,167
743622810349,INV-1009,TS09AB4975,154
539319037998,INV-1011,TS09AB2956,692
223515799698,INV-1012,TS09AB7048,974
992386397640,INV-1013,TS09AB1766,833
815209944181,INV-1015,TS09AB7157,939
788108797931,INV-1016,TS09AB1445,130
168400880607,INV-1017,TS09AB5423,876
635756127663,INV-1018,TS09AB1591,553
652934716078,INV-1019,TS09AB2018,509
979232625207,INV-1020,TS09AB1106,463
878168547635,INV-1021,TS09AB4196,846
128412500326,INV-1022,TS09AB6433,706
559399644498,INV-1024,TS09AB4208,576
854189954257,INV-1025,TS09AB7391,568
418115324868,INV-1026,TS09AB3820,187
248396638992,INV-1027,TS09AB8090,214
173257876803,INV-1028,TS09AB1483,484
319150879850,INV-1029,TS09AB7110,199
230640048460,INV-1031,TS09AB5427,976
305931263402,INV-1032,TS09AB8576,98
619524282559,INV-1033,TS09AB7337,522
559746222269,INV-1035,TS09AB5579,223
273941497027,INV-1036,TS09AB8489,938
371495427609,INV-1037,TS09AB2279,342
535028521551,INV-1038,TS09AB4952,631
513949737946,INV-1039,TS09AB2575,802
440082690751,INV-1040,TS09AB6547,743
777542019895,INV-1041,TS09AB5756,722
376160632104,INV-1042,TS09AB4760,437
823301998328,INV-1043,TS09AB4656,487
901007257235,INV-1044,TS09AB7043,864
574992977564,INV-1045,TS09AB6823,212
613033617627,INV-1046,TS09AB6946,427
989549438638,INV-1047,TS09AB3266,237
581160845965,INV-1048,TS09AB1369,452
416173242880,INV-1049,TS09AB1454,895
554258225234,INV-1050,TS09AB9869,878
564106227512,INV-1051,TS09AB4084,314
238966052181,INV-1052,TS09AB7217,740
426058037334,INV-1053,TS09AB9568,788
277299650358,INV-1054,TS09AB1466,493
569586270536,INV-1056,TS09AB4655,799
286469435614,INV-1058,TS09AB6962,277
623123805125,INV-1059,TS09AB2013,596
131104439746,INV-1060,TS09AB7230,37
103392540857,INV-1061,TS09AB9820,589
433244466302,INV-1062,TS09AB4053,312
160285088668,INV-1063,TS09AB4413,110
958125361480,INV-1064,TS09AB7083,171
275282959253,INV-1065,TS09AB7937,706
245682712763,INV-1066,TS09AB3823,287
493813053558,INV-1067,TS09AB3678,619
277274117059,INV-1068,TS09AB9820,182
818655295286,INV-1069,TS09AB2695,271
972205195494,INV-1070,TS09AB8232,505
634213883436,INV-1071,TS09AB2785,209
524288654280,INV-1072,TS09AB3017,606
474277229600,INV-1073,TS09AB1262,166
449238797078,INV-1074,TS09AB2656,498
154744134939,INV-1075,TS09AB7951,496
761298090087,INV-1076,TS09AB6826,692
788640597527,INV-1077,TS09AB6951,253
441147871362,INV-1078,TS09AB3986,54
186932522614,INV-1079,TS09AB6732,105
952349701182,INV-1080,TS09AB6412,393
712255929497,INV-1081,TS09AB3157,515
520405534746,INV-1082,TS09AB6725,789
853634237806,INV-1083,TS09AB7445,876
977706294243,INV-1085,TS09AB1190,293
529131623343,INV-1088,TS09AB2506,313
901691854852,INV-1089,TS09AB1111,44
617723028295,INV-1090,TS09AB6348,260
926028505708,INV-1091,TS09AB3301,436
