Irn,SellerGstin,BuyerGstin,DocNo,DocDt,AssAmt,IgstAmt,TotalVal
2b89934e8d5f497088d8bfa11c7e8f0a,21ABCDE1578F1Z492,20ABCDE8432F1Z5,INV-1008,2023-04-24,266768.15,48018.27,314786.42000000004
fc21c83a655d4d22b4210238398c9de9,21ABCDE6211F1Z786,24ABCDE5728F1Z16,INV-1017,2023-08-16,120077.82,21614.01,141691.83000000002
7092296815f94a17a9e76d02d0be28a0,33ABCDE4013F1Z947,12ABCDE9263F1Z12,INV-1045,2023-12-30,363606.34,65449.14,429055.48000000004
f30c18326fca44b0a33c79764db452b0,13ABCDE6084F1Z1064,15ABCDE2773F1Z41,INV-1072,2023-12-29,487526.05,87754.69,575280.74
73e46bae10d547beb3cbfcad30c4f85a,16ABCDE8095F1Z621,14ABCDE4898F1Z43,MISSPELLED-123,2023-07-14,188928.99,34007.22,222936.21
e013f7323e93487b8036455048d52e23,07BBBBB8224B1Z357,33ABCDE6274F1Z1,INV-1194,2023-08-29,285747.91,51434.62,337182.52999999997
0681a559b553459eb3fd45dcdac31076,32ABCDE2670F1Z119,33ABCDE2626F1Z49,INV-1246,2023-07-08,416563.44,74981.42,491544.86
f24cbd24418041dda2a2517cd42b13af,07BBBBB3766B1Z465,24ABCDE5728F1Z16,INV-1288,2023-08-02,406186.76,73113.62,479300.38
1e55aa960e3b4eb391c5f2d1ac75cc34,07BBBBB9068B1Z134,12ABCDE2824F1Z29,INV-1313,2023-10-16,206616.64,37191.0,243807.64
520d292fc33847ed8adeb69794b87143,35ABCDE6775F1Z1039,32ABCDE7693F1Z8,INV-1323,2023-09-22,265103.93,47718.71,312822.64
5bb84d6dce5c426a92348ca59f5f8a01,29ABCDE7072F1Z797,18ABCDE1814F1Z2,INV-1328,2023-11-14,99957.18,17992.29,117949.47
b4fe25ff46c9453b81f67b2abd02a281,33ABCDE9918F1Z99,33ABCDE2626F1Z49,INV-1331,2024-01-11,322729.75,58091.35,380821.1
